gender,parental_education,study_hours,attendance_rate,past_exam_score,internet_access,extracurricular_activities,final_score
Female,High School,25,78,67,Yes,No,80
Male,Intermediate,17,85,53,Yes,No,63
Male,Masters,10,85,74,No,Yes,82
Male,Bachelors,18,89,38,Yes,No,81
Female,Masters,11,82,68,Yes,Yes,79
Female,Bachelors,9,66,70,Yes,No,65
Female,Bachelors,5,80,81,Yes,No,93
Male,Masters,0,92,84,Yes,Yes,86
Male,High School,11,82,62,Yes,No,78
Male,Intermediate,16,82,67,Yes,Yes,80
Female,High School,14,94,58,Yes,Yes,76
Male,PhD,11,77,53,Yes,Yes,86
Male,Masters,7,69,74,No,Yes,68
Female,None,19,83,50,Yes,Yes,70
Female,Bachelors,4,80,63,Yes,No,71
Female,Masters,21,75,55,Yes,Yes,77
Female,High School,6,83,78,Yes,No,77
Male,Intermediate,8,89,97,No,Yes,79
Female,Masters,3,84,50,Yes,Yes,75
Female,None,10,88,42,Yes,No,50
Male,Bachelors,22,100,68,No,Yes,97
Female,High School,19,81,70,Yes,Yes,87
Female,Masters,22,87,73,No,No,92
Female,PhD,19,79,63,Yes,Yes,91
Female,Masters,6,76,66,Yes,Yes,70
Male,Intermediate,12,79,75,Yes,Yes,95
Female,Masters,8,80,85,Yes,No,89
Male,Masters,25,88,40,No,No,69
Male,High School,5,100,64,Yes,No,76
Female,Masters,22,77,73,Yes,No,100
Male,None,22,80,56,Yes,Yes,72
Female,Intermediate,29,84,95,Yes,Yes,100
Female,High School,11,88,60,Yes,No,79
Male,High School,20,87,69,No,Yes,66
Male,None,33,97,78,Yes,Yes,88
Male,Bachelors,10,60,61,Yes,Yes,81
Female,High School,2,61,42,Yes,Yes,35
Female,Bachelors,0,80,63,Yes,No,71
Male,None,20,95,85,Yes,Yes,77
Female,High School,0,69,64,Yes,Yes,60
Female,Intermediate,12,54,57,No,Yes,55
Female,Bachelors,18,90,83,Yes,No,91
Female,High School,16,87,65,Yes,Yes,75
Male,Bachelors,18,74,62,Yes,Yes,76
Female,Masters,16,75,72,No,No,93
Male,Bachelors,25,75,81,Yes,No,100
Female,High School,7,86,100,Yes,Yes,79
Male,None,9,78,82,Yes,Yes,85
